model,epoch,accuracy,loss,val_accuracy,val_loss
object100_pt_mobilenet_v2_02_69,0,0.6306532663316583,1.0352607501212077,0.7878787878787878,0.6330161377637074
object100_pt_mobilenet_v2_02_69,1,0.9170854271356784,0.34181724855648216,0.9292929292929293,0.33265503789439343
object100_pt_mobilenet_v2_02_69,2,0.949748743718593,0.1699913076719447,0.8888888888888888,0.31855496101909214
object100_pt_mobilenet_v2_02_69,3,0.9522613065326633,0.15240616467430365,0.8787878787878788,0.35484130906336236
object100_pt_mobilenet_v2_02_69,4,0.9547738693467337,0.11041879260809577,0.8080808080808081,0.4845708403548207
object100_pt_mobilenet_v2_02_69,5,0.9723618090452262,0.08105204853430466,0.898989898989899,0.32644218695585175
object100_pt_mobilenet_v2_02_69,6,0.9798994974874372,0.08253095808190916,0.9393939393939394,0.24958471517370204
object100_pt_mobilenet_v2_02_69,7,0.9899497487437185,0.05712183254148493,0.9191919191919192,0.30585423123204347
object100_pt_mobilenet_v2_02_69,8,0.992462311557789,0.034524729802979895,0.8787878787878788,0.43346429845750933
object100_pt_mobilenet_v2_02_69,9,0.9949748743718593,0.039109709742830026,0.9090909090909091,0.3381556508441766
object100_pt_mobilenet_v2_02_69,10,0.992462311557789,0.0420975647539125,0.8686868686868687,0.4443720791517108
object100_pt_mobilenet_v2_02_69,11,1.0,0.02847827716388894,0.8888888888888888,0.39624955142951673
object100_pt_mobilenet_v2_02_69,12,0.992462311557789,0.02862584275010992,0.9292929292929293,0.29585174943386305
object100_pt_mobilenet_v2_02_69,13,0.9974874371859297,0.023756475850059907,0.8686868686868687,0.4599972234925989
object100_pt_mobilenet_v2_02_69,14,0.9949748743718593,0.023404765724387003,0.9090909090909091,0.35285382279938066
object100_pt_mobilenet_v2_02_69,15,0.9974874371859297,0.018358094613044405,0.8585858585858586,0.5160817327260068
object100_pt_mobilenet_v2_02_69,16,0.9949748743718593,0.018698449110864993,0.9191919191919192,0.3454031367231198
object100_pt_mobilenet_v2_02_69,17,0.9095477386934674,0.28532380846577077,0.7777777777777778,0.5985501109048573
object100_pt_mobilenet_v2_02_69,18,0.9698492462311558,0.10833776686059769,0.9292929292929293,0.3005661207975613
object100_pt_mobilenet_v2_02_69,19,0.992462311557789,0.03266216957843371,0.9191919191919192,0.3525033982263671
object100_pt_mobilenet_v2_02_69,20,0.9949748743718593,0.0207763186786979,0.8787878787878788,0.4419056307453888
object100_pt_mobilenet_v2_02_69,21,0.9974874371859297,0.010628185044253367,0.9393939393939394,0.28667794204683916
object100_pt_mobilenet_v2_02_69,22,0.9949748743718593,0.019891880452047903,0.9090909090909091,0.4045776249205863
object100_pt_mobilenet_v2_02_69,23,1.0,0.0031071677803993225,0.9292929292929293,0.4498692457423066
object100_pt_mobilenet_v2_02_69,24,1.0,0.0036394783234558344,0.9090909090909091,0.4139575240192841
object100_pt_mobilenet_v2_02_69,25,1.0,0.0015267224939017623,0.9191919191919192,0.3868635127654845
object100_pt_mobilenet_v2_02_69,26,1.0,0.00725471144530398,0.9595959595959596,0.31968811842039074
