model,wanted,prediction,count
object100_tf_mobilenet_v2_00_06,ecouteurs,ecouteurs,23
object100_tf_mobilenet_v2_00_06,ecouteurs,keycap-puller,0
object100_tf_mobilenet_v2_00_06,ecouteurs,other,0
object100_tf_mobilenet_v2_00_06,ecouteurs,pc-stand,0
object100_tf_mobilenet_v2_00_06,ecouteurs,porte-mine,0
object100_tf_mobilenet_v2_00_06,keycap-puller,ecouteurs,0
object100_tf_mobilenet_v2_00_06,keycap-puller,keycap-puller,20
object100_tf_mobilenet_v2_00_06,keycap-puller,other,1
object100_tf_mobilenet_v2_00_06,keycap-puller,pc-stand,0
object100_tf_mobilenet_v2_00_06,keycap-puller,porte-mine,1
object100_tf_mobilenet_v2_00_06,other,ecouteurs,0
object100_tf_mobilenet_v2_00_06,other,keycap-puller,0
object100_tf_mobilenet_v2_00_06,other,other,13
object100_tf_mobilenet_v2_00_06,other,pc-stand,0
object100_tf_mobilenet_v2_00_06,other,porte-mine,0
object100_tf_mobilenet_v2_00_06,pc-stand,ecouteurs,0
object100_tf_mobilenet_v2_00_06,pc-stand,keycap-puller,0
object100_tf_mobilenet_v2_00_06,pc-stand,other,0
object100_tf_mobilenet_v2_00_06,pc-stand,pc-stand,16
object100_tf_mobilenet_v2_00_06,pc-stand,porte-mine,0
object100_tf_mobilenet_v2_00_06,porte-mine,ecouteurs,0
object100_tf_mobilenet_v2_00_06,porte-mine,keycap-puller,3
object100_tf_mobilenet_v2_00_06,porte-mine,other,1
object100_tf_mobilenet_v2_00_06,porte-mine,pc-stand,1
object100_tf_mobilenet_v2_00_06,porte-mine,porte-mine,20
