model,wanted,prediction,count
object100_tf_mobilenet_v2_00_52,ecouteurs,ecouteurs,23
object100_tf_mobilenet_v2_00_52,ecouteurs,keycap-puller,0
object100_tf_mobilenet_v2_00_52,ecouteurs,other,0
object100_tf_mobilenet_v2_00_52,ecouteurs,pc-stand,0
object100_tf_mobilenet_v2_00_52,ecouteurs,porte-mine,0
object100_tf_mobilenet_v2_00_52,keycap-puller,ecouteurs,0
object100_tf_mobilenet_v2_00_52,keycap-puller,keycap-puller,21
object100_tf_mobilenet_v2_00_52,keycap-puller,other,1
object100_tf_mobilenet_v2_00_52,keycap-puller,pc-stand,0
object100_tf_mobilenet_v2_00_52,keycap-puller,porte-mine,0
object100_tf_mobilenet_v2_00_52,other,ecouteurs,0
object100_tf_mobilenet_v2_00_52,other,keycap-puller,0
object100_tf_mobilenet_v2_00_52,other,other,13
object100_tf_mobilenet_v2_00_52,other,pc-stand,0
object100_tf_mobilenet_v2_00_52,other,porte-mine,0
object100_tf_mobilenet_v2_00_52,pc-stand,ecouteurs,0
object100_tf_mobilenet_v2_00_52,pc-stand,keycap-puller,1
object100_tf_mobilenet_v2_00_52,pc-stand,other,0
object100_tf_mobilenet_v2_00_52,pc-stand,pc-stand,15
object100_tf_mobilenet_v2_00_52,pc-stand,porte-mine,0
object100_tf_mobilenet_v2_00_52,porte-mine,ecouteurs,1
object100_tf_mobilenet_v2_00_52,porte-mine,keycap-puller,4
object100_tf_mobilenet_v2_00_52,porte-mine,other,1
object100_tf_mobilenet_v2_00_52,porte-mine,pc-stand,0
object100_tf_mobilenet_v2_00_52,porte-mine,porte-mine,19
