model,wanted,prediction,count
object100_pt_mobilenet_v2_01_183,ecouteurs,ecouteurs,16
object100_pt_mobilenet_v2_01_183,ecouteurs,keycap-puller,0
object100_pt_mobilenet_v2_01_183,ecouteurs,other,0
object100_pt_mobilenet_v2_01_183,ecouteurs,pc-stand,0
object100_pt_mobilenet_v2_01_183,ecouteurs,porte-mine,0
object100_pt_mobilenet_v2_01_183,keycap-puller,ecouteurs,0
object100_pt_mobilenet_v2_01_183,keycap-puller,keycap-puller,23
object100_pt_mobilenet_v2_01_183,keycap-puller,other,2
object100_pt_mobilenet_v2_01_183,keycap-puller,pc-stand,0
object100_pt_mobilenet_v2_01_183,keycap-puller,porte-mine,4
object100_pt_mobilenet_v2_01_183,other,ecouteurs,0
object100_pt_mobilenet_v2_01_183,other,keycap-puller,1
object100_pt_mobilenet_v2_01_183,other,other,15
object100_pt_mobilenet_v2_01_183,other,pc-stand,1
object100_pt_mobilenet_v2_01_183,other,porte-mine,2
object100_pt_mobilenet_v2_01_183,pc-stand,ecouteurs,0
object100_pt_mobilenet_v2_01_183,pc-stand,keycap-puller,0
object100_pt_mobilenet_v2_01_183,pc-stand,other,0
object100_pt_mobilenet_v2_01_183,pc-stand,pc-stand,15
object100_pt_mobilenet_v2_01_183,pc-stand,porte-mine,1
object100_pt_mobilenet_v2_01_183,porte-mine,ecouteurs,0
object100_pt_mobilenet_v2_01_183,porte-mine,keycap-puller,0
object100_pt_mobilenet_v2_01_183,porte-mine,other,0
object100_pt_mobilenet_v2_01_183,porte-mine,pc-stand,0
object100_pt_mobilenet_v2_01_183,porte-mine,porte-mine,19
