model,wanted,prediction,count
object100_pt_mobilenet_v2_01_348,ecouteurs,ecouteurs,16
object100_pt_mobilenet_v2_01_348,ecouteurs,keycap-puller,0
object100_pt_mobilenet_v2_01_348,ecouteurs,other,0
object100_pt_mobilenet_v2_01_348,ecouteurs,pc-stand,0
object100_pt_mobilenet_v2_01_348,ecouteurs,porte-mine,0
object100_pt_mobilenet_v2_01_348,keycap-puller,ecouteurs,0
object100_pt_mobilenet_v2_01_348,keycap-puller,keycap-puller,20
object100_pt_mobilenet_v2_01_348,keycap-puller,other,2
object100_pt_mobilenet_v2_01_348,keycap-puller,pc-stand,0
object100_pt_mobilenet_v2_01_348,keycap-puller,porte-mine,7
object100_pt_mobilenet_v2_01_348,other,ecouteurs,0
object100_pt_mobilenet_v2_01_348,other,keycap-puller,2
object100_pt_mobilenet_v2_01_348,other,other,15
object100_pt_mobilenet_v2_01_348,other,pc-stand,0
object100_pt_mobilenet_v2_01_348,other,porte-mine,2
object100_pt_mobilenet_v2_01_348,pc-stand,ecouteurs,0
object100_pt_mobilenet_v2_01_348,pc-stand,keycap-puller,0
object100_pt_mobilenet_v2_01_348,pc-stand,other,0
object100_pt_mobilenet_v2_01_348,pc-stand,pc-stand,14
object100_pt_mobilenet_v2_01_348,pc-stand,porte-mine,2
object100_pt_mobilenet_v2_01_348,porte-mine,ecouteurs,0
object100_pt_mobilenet_v2_01_348,porte-mine,keycap-puller,0
object100_pt_mobilenet_v2_01_348,porte-mine,other,0
object100_pt_mobilenet_v2_01_348,porte-mine,pc-stand,0
object100_pt_mobilenet_v2_01_348,porte-mine,porte-mine,19
