model,wanted,prediction,count
object100_pt_mobilenet_v2_01_49,ecouteurs,ecouteurs,16
object100_pt_mobilenet_v2_01_49,ecouteurs,keycap-puller,0
object100_pt_mobilenet_v2_01_49,ecouteurs,other,0
object100_pt_mobilenet_v2_01_49,ecouteurs,pc-stand,0
object100_pt_mobilenet_v2_01_49,ecouteurs,porte-mine,0
object100_pt_mobilenet_v2_01_49,keycap-puller,ecouteurs,0
object100_pt_mobilenet_v2_01_49,keycap-puller,keycap-puller,26
object100_pt_mobilenet_v2_01_49,keycap-puller,other,2
object100_pt_mobilenet_v2_01_49,keycap-puller,pc-stand,0
object100_pt_mobilenet_v2_01_49,keycap-puller,porte-mine,1
object100_pt_mobilenet_v2_01_49,other,ecouteurs,0
object100_pt_mobilenet_v2_01_49,other,keycap-puller,1
object100_pt_mobilenet_v2_01_49,other,other,17
object100_pt_mobilenet_v2_01_49,other,pc-stand,0
object100_pt_mobilenet_v2_01_49,other,porte-mine,1
object100_pt_mobilenet_v2_01_49,pc-stand,ecouteurs,0
object100_pt_mobilenet_v2_01_49,pc-stand,keycap-puller,0
object100_pt_mobilenet_v2_01_49,pc-stand,other,0
object100_pt_mobilenet_v2_01_49,pc-stand,pc-stand,15
object100_pt_mobilenet_v2_01_49,pc-stand,porte-mine,1
object100_pt_mobilenet_v2_01_49,porte-mine,ecouteurs,0
object100_pt_mobilenet_v2_01_49,porte-mine,keycap-puller,1
object100_pt_mobilenet_v2_01_49,porte-mine,other,0
object100_pt_mobilenet_v2_01_49,porte-mine,pc-stand,0
object100_pt_mobilenet_v2_01_49,porte-mine,porte-mine,18
