model,wanted,prediction,count
object100_pt_mobilenet_v2_01_317,ecouteurs,ecouteurs,16
object100_pt_mobilenet_v2_01_317,ecouteurs,keycap-puller,0
object100_pt_mobilenet_v2_01_317,ecouteurs,other,0
object100_pt_mobilenet_v2_01_317,ecouteurs,pc-stand,0
object100_pt_mobilenet_v2_01_317,ecouteurs,porte-mine,0
object100_pt_mobilenet_v2_01_317,keycap-puller,ecouteurs,0
object100_pt_mobilenet_v2_01_317,keycap-puller,keycap-puller,21
object100_pt_mobilenet_v2_01_317,keycap-puller,other,1
object100_pt_mobilenet_v2_01_317,keycap-puller,pc-stand,0
object100_pt_mobilenet_v2_01_317,keycap-puller,porte-mine,7
object100_pt_mobilenet_v2_01_317,other,ecouteurs,0
object100_pt_mobilenet_v2_01_317,other,keycap-puller,2
object100_pt_mobilenet_v2_01_317,other,other,16
object100_pt_mobilenet_v2_01_317,other,pc-stand,0
object100_pt_mobilenet_v2_01_317,other,porte-mine,1
object100_pt_mobilenet_v2_01_317,pc-stand,ecouteurs,0
object100_pt_mobilenet_v2_01_317,pc-stand,keycap-puller,0
object100_pt_mobilenet_v2_01_317,pc-stand,other,0
object100_pt_mobilenet_v2_01_317,pc-stand,pc-stand,15
object100_pt_mobilenet_v2_01_317,pc-stand,porte-mine,1
object100_pt_mobilenet_v2_01_317,porte-mine,ecouteurs,0
object100_pt_mobilenet_v2_01_317,porte-mine,keycap-puller,0
object100_pt_mobilenet_v2_01_317,porte-mine,other,0
object100_pt_mobilenet_v2_01_317,porte-mine,pc-stand,0
object100_pt_mobilenet_v2_01_317,porte-mine,porte-mine,19
