model,epoch,accuracy,loss,val_accuracy,val_loss
object100_pt_mobilenet_v2_02_78,0,0.31155778894472363,1.5683384702433294,0.45454545454545453,1.4455171365930577
object100_pt_mobilenet_v2_02_78,1,0.542713567839196,1.2965708090432326,0.6161616161616161,1.153043052162787
object100_pt_mobilenet_v2_02_78,2,0.7236180904522613,0.974451586828759,0.7676767676767676,0.8125824169679121
object100_pt_mobilenet_v2_02_78,3,0.7788944723618091,0.6834002237523621,0.8585858585858586,0.5561882931776722
object100_pt_mobilenet_v2_02_78,4,0.8241206030150754,0.5364886705000796,0.797979797979798,0.5652518597516146
object100_pt_mobilenet_v2_02_78,5,0.8668341708542714,0.4253089634617369,0.8282828282828283,0.4829074577851729
object100_pt_mobilenet_v2_02_78,6,0.8793969849246231,0.3637215382789248,0.8484848484848485,0.3911074767209063
object100_pt_mobilenet_v2_02_78,7,0.8994974874371859,0.343589958234049,0.9090909090909091,0.3360254421378627
object100_pt_mobilenet_v2_02_78,8,0.9095477386934674,0.2904812281754748,0.8888888888888888,0.35546284311949605
object100_pt_mobilenet_v2_02_78,9,0.9221105527638191,0.27122969184089546,0.8383838383838383,0.4169916570788682
object100_pt_mobilenet_v2_02_78,10,0.9246231155778895,0.21835507224103315,0.8181818181818182,0.4083715568889271
object100_pt_mobilenet_v2_02_78,11,0.9447236180904522,0.1960608031993835,0.797979797979798,0.4818355579568882
object100_pt_mobilenet_v2_02_78,12,0.9422110552763819,0.18910577646152457,0.8686868686868687,0.37327029909750425
object100_pt_mobilenet_v2_02_78,13,0.9346733668341709,0.18689844087140645,0.898989898989899,0.3473022941387061
object100_pt_mobilenet_v2_02_78,14,0.9296482412060302,0.19888552753769573,0.8585858585858586,0.3556757966677348
object100_pt_mobilenet_v2_02_78,15,0.9447236180904522,0.15974796814235612,0.7676767676767676,0.6413894434167882
object100_pt_mobilenet_v2_02_78,16,0.9321608040201005,0.1686368063841034,0.8787878787878788,0.41227243042955497
object100_pt_mobilenet_v2_02_78,17,0.949748743718593,0.1696839208279423,0.8888888888888888,0.32859352080508913
object100_pt_mobilenet_v2_02_78,18,0.9522613065326633,0.13878104453859616,0.8585858585858586,0.4518424188247835
object100_pt_mobilenet_v2_02_78,19,0.9547738693467337,0.13884699149946472,0.898989898989899,0.3293539351887173
