model,wanted,prediction,count
object100_pt_mobilenet_v2_01_250,ecouteurs,ecouteurs,16
object100_pt_mobilenet_v2_01_250,ecouteurs,keycap-puller,0
object100_pt_mobilenet_v2_01_250,ecouteurs,other,0
object100_pt_mobilenet_v2_01_250,ecouteurs,pc-stand,0
object100_pt_mobilenet_v2_01_250,ecouteurs,porte-mine,0
object100_pt_mobilenet_v2_01_250,keycap-puller,ecouteurs,0
object100_pt_mobilenet_v2_01_250,keycap-puller,keycap-puller,24
object100_pt_mobilenet_v2_01_250,keycap-puller,other,2
object100_pt_mobilenet_v2_01_250,keycap-puller,pc-stand,0
object100_pt_mobilenet_v2_01_250,keycap-puller,porte-mine,3
object100_pt_mobilenet_v2_01_250,other,ecouteurs,0
object100_pt_mobilenet_v2_01_250,other,keycap-puller,1
object100_pt_mobilenet_v2_01_250,other,other,17
object100_pt_mobilenet_v2_01_250,other,pc-stand,0
object100_pt_mobilenet_v2_01_250,other,porte-mine,1
object100_pt_mobilenet_v2_01_250,pc-stand,ecouteurs,0
object100_pt_mobilenet_v2_01_250,pc-stand,keycap-puller,0
object100_pt_mobilenet_v2_01_250,pc-stand,other,0
object100_pt_mobilenet_v2_01_250,pc-stand,pc-stand,15
object100_pt_mobilenet_v2_01_250,pc-stand,porte-mine,1
object100_pt_mobilenet_v2_01_250,porte-mine,ecouteurs,0
object100_pt_mobilenet_v2_01_250,porte-mine,keycap-puller,0
object100_pt_mobilenet_v2_01_250,porte-mine,other,0
object100_pt_mobilenet_v2_01_250,porte-mine,pc-stand,0
object100_pt_mobilenet_v2_01_250,porte-mine,porte-mine,19
