model,epoch,accuracy,loss,val_accuracy,val_loss
object100_pt_mobilenet_v2_01_250,0,0.49748743718592964,1.3721694053716995,0.7474747474747475,1.0398279669308903
object100_pt_mobilenet_v2_01_250,1,0.8391959798994975,0.679409959507947,0.8383838383838383,0.4954550772002249
object100_pt_mobilenet_v2_01_250,2,0.8768844221105527,0.3656209464648261,0.898989898989899,0.35662356139433504
object100_pt_mobilenet_v2_01_250,3,0.9221105527638191,0.22984383393771685,0.9090909090909091,0.3041542393691612
object100_pt_mobilenet_v2_01_250,4,0.9522613065326633,0.18260889736252214,0.9090909090909091,0.30206754638089073
object100_pt_mobilenet_v2_01_250,5,0.9723618090452262,0.12279824923780096,0.8484848484848485,0.3852896746812445
object100_pt_mobilenet_v2_01_250,6,0.9698492462311558,0.09193692229051686,0.7878787878787878,0.4982363801223762
object100_pt_mobilenet_v2_01_250,7,0.9773869346733668,0.07762288004534329,0.8181818181818182,0.47474566388009776
object100_pt_mobilenet_v2_01_250,8,0.9698492462311558,0.08669395549176027,0.9191919191919192,0.299966901409054
object100_pt_mobilenet_v2_01_250,9,0.9773869346733668,0.0561639946890087,0.9191919191919192,0.3214931476372059
object100_pt_mobilenet_v2_01_250,10,0.9798994974874372,0.05906704796393912,0.9292929292929293,0.30052653540189217
object100_pt_mobilenet_v2_01_250,11,0.9899497487437185,0.041817288022095236,0.8383838383838383,0.4633938915500737
object100_pt_mobilenet_v2_01_250,12,0.992462311557789,0.033343209852300694,0.8686868686868687,0.4746451848233589
object100_pt_mobilenet_v2_01_250,13,0.992462311557789,0.04018073478928912,0.9191919191919192,0.34007878743601266
object100_pt_mobilenet_v2_01_250,14,1.0,0.01689712582015662,0.9090909090909091,0.3500771452719816
object100_pt_mobilenet_v2_01_250,15,0.9974874371859297,0.017932910598514967,0.8787878787878788,0.4661675144852412
object100_pt_mobilenet_v2_01_250,16,0.9949748743718593,0.021197693618997256,0.9191919191919192,0.3741004588835017
object100_pt_mobilenet_v2_01_250,17,0.9974874371859297,0.01658095541087227,0.9090909090909091,0.3221013138748028
object100_pt_mobilenet_v2_01_250,18,0.9949748743718593,0.023400606634329312,0.8181818181818182,0.6045146229667495
