model,epoch,accuracy,loss,val_accuracy,val_loss
object100_pt_mobilenet_v2_01_55,0,0.585427135678392,1.158580283423764,0.6868686868686869,0.8134722369487839
object100_pt_mobilenet_v2_01_55,1,0.8417085427135679,0.4166608368931104,0.8585858585858586,0.4690432245984222
object100_pt_mobilenet_v2_01_55,2,0.907035175879397,0.2189748568001704,0.9090909090909091,0.3277005571307558
object100_pt_mobilenet_v2_01_55,3,0.9597989949748744,0.12751367513146533,0.9090909090909091,0.3482262133573643
object100_pt_mobilenet_v2_01_55,4,0.9773869346733668,0.0782999415980212,0.898989898989899,0.38933419044872725
object100_pt_mobilenet_v2_01_55,5,0.9899497487437185,0.04069483053669259,0.898989898989899,0.3680460563898463
object100_pt_mobilenet_v2_01_55,6,1.0,0.01469660509405798,0.9292929292929293,0.32917167626631755
object100_pt_mobilenet_v2_01_55,7,1.0,0.010366215045334555,0.8686868686868687,0.46444906396532637
object100_pt_mobilenet_v2_01_55,8,0.9949748743718593,0.018700789283474337,0.8787878787878788,0.484093397797551
object100_pt_mobilenet_v2_01_55,9,1.0,0.013303992058847792,0.9090909090909091,0.3972981483646142
object100_pt_mobilenet_v2_01_55,10,1.0,0.0047609411746300945,0.8888888888888888,0.4818904343829314
object100_pt_mobilenet_v2_01_55,11,1.0,0.0036160906311124563,0.9090909090909091,0.39518517368494277
object100_pt_mobilenet_v2_01_55,12,1.0,0.0025180760541715515,0.9090909090909091,0.44320973770053834
