model,wanted,prediction,count
object100_pt_mobilenet_v2_01_41,ecouteurs,ecouteurs,16
object100_pt_mobilenet_v2_01_41,ecouteurs,keycap-puller,0
object100_pt_mobilenet_v2_01_41,ecouteurs,other,0
object100_pt_mobilenet_v2_01_41,ecouteurs,pc-stand,0
object100_pt_mobilenet_v2_01_41,ecouteurs,porte-mine,0
object100_pt_mobilenet_v2_01_41,keycap-puller,ecouteurs,0
object100_pt_mobilenet_v2_01_41,keycap-puller,keycap-puller,24
object100_pt_mobilenet_v2_01_41,keycap-puller,other,2
object100_pt_mobilenet_v2_01_41,keycap-puller,pc-stand,0
object100_pt_mobilenet_v2_01_41,keycap-puller,porte-mine,3
object100_pt_mobilenet_v2_01_41,other,ecouteurs,0
object100_pt_mobilenet_v2_01_41,other,keycap-puller,0
object100_pt_mobilenet_v2_01_41,other,other,19
object100_pt_mobilenet_v2_01_41,other,pc-stand,0
object100_pt_mobilenet_v2_01_41,other,porte-mine,0
object100_pt_mobilenet_v2_01_41,pc-stand,ecouteurs,0
object100_pt_mobilenet_v2_01_41,pc-stand,keycap-puller,0
object100_pt_mobilenet_v2_01_41,pc-stand,other,0
object100_pt_mobilenet_v2_01_41,pc-stand,pc-stand,15
object100_pt_mobilenet_v2_01_41,pc-stand,porte-mine,1
object100_pt_mobilenet_v2_01_41,porte-mine,ecouteurs,0
object100_pt_mobilenet_v2_01_41,porte-mine,keycap-puller,0
object100_pt_mobilenet_v2_01_41,porte-mine,other,0
object100_pt_mobilenet_v2_01_41,porte-mine,pc-stand,0
object100_pt_mobilenet_v2_01_41,porte-mine,porte-mine,19
