model,wanted,prediction,count
objects150_tf_efficientnet_b0_00_02,ecouteurs,ecouteurs,32
objects150_tf_efficientnet_b0_00_02,ecouteurs,keycap-puller,0
objects150_tf_efficientnet_b0_00_02,ecouteurs,other,0
objects150_tf_efficientnet_b0_00_02,ecouteurs,pc-stand,0
objects150_tf_efficientnet_b0_00_02,ecouteurs,porte-mine,0
objects150_tf_efficientnet_b0_00_02,keycap-puller,ecouteurs,0
objects150_tf_efficientnet_b0_00_02,keycap-puller,keycap-puller,27
objects150_tf_efficientnet_b0_00_02,keycap-puller,other,0
objects150_tf_efficientnet_b0_00_02,keycap-puller,pc-stand,0
objects150_tf_efficientnet_b0_00_02,keycap-puller,porte-mine,0
objects150_tf_efficientnet_b0_00_02,other,ecouteurs,1
objects150_tf_efficientnet_b0_00_02,other,keycap-puller,0
objects150_tf_efficientnet_b0_00_02,other,other,31
objects150_tf_efficientnet_b0_00_02,other,pc-stand,0
objects150_tf_efficientnet_b0_00_02,other,porte-mine,0
objects150_tf_efficientnet_b0_00_02,pc-stand,ecouteurs,0
objects150_tf_efficientnet_b0_00_02,pc-stand,keycap-puller,0
objects150_tf_efficientnet_b0_00_02,pc-stand,other,0
objects150_tf_efficientnet_b0_00_02,pc-stand,pc-stand,30
objects150_tf_efficientnet_b0_00_02,pc-stand,porte-mine,0
objects150_tf_efficientnet_b0_00_02,porte-mine,ecouteurs,0
objects150_tf_efficientnet_b0_00_02,porte-mine,keycap-puller,0
objects150_tf_efficientnet_b0_00_02,porte-mine,other,0
objects150_tf_efficientnet_b0_00_02,porte-mine,pc-stand,0
objects150_tf_efficientnet_b0_00_02,porte-mine,porte-mine,32
