model,epoch,accuracy,loss,val_accuracy,val_loss
object100_pt_mobilenet_v2_01_137,0,0.6030150753768844,1.342484824022456,0.6464646464646465,1.050030449424127
object100_pt_mobilenet_v2_01_137,1,0.8894472361809045,0.6391260161172205,0.898989898989899,0.4959086336270727
object100_pt_mobilenet_v2_01_137,2,0.8969849246231156,0.3478417017651563,0.8484848484848485,0.40377414045911847
object100_pt_mobilenet_v2_01_137,3,0.957286432160804,0.1941015564616601,0.8686868686868687,0.38031831428860174
object100_pt_mobilenet_v2_01_137,4,0.9472361809045227,0.17053322816014888,0.8080808080808081,0.5208058408414474
object100_pt_mobilenet_v2_01_137,5,0.9723618090452262,0.12555379723783713,0.8888888888888888,0.3336522090013581
object100_pt_mobilenet_v2_01_137,6,0.9748743718592965,0.08907441585207704,0.8484848484848485,0.4007790416780144
object100_pt_mobilenet_v2_01_137,7,0.9798994974874372,0.07371488157378968,0.9191919191919192,0.36429557604056717
object100_pt_mobilenet_v2_01_137,8,0.992462311557789,0.04684441610609167,0.898989898989899,0.38051468329598204
object100_pt_mobilenet_v2_01_137,9,0.9824120603015075,0.054389877759631555,0.898989898989899,0.38701445676122953
object100_pt_mobilenet_v2_01_137,10,0.9899497487437185,0.04544109684513442,0.8686868686868687,0.42797216885920725
object100_pt_mobilenet_v2_01_137,11,0.9949748743718593,0.03325478565041444,0.8888888888888888,0.3807563128119165
object100_pt_mobilenet_v2_01_137,12,1.0,0.021160343699344438,0.898989898989899,0.3642000817891323
object100_pt_mobilenet_v2_01_137,13,1.0,0.015302445767587753,0.8686868686868687,0.39960498754123247
object100_pt_mobilenet_v2_01_137,14,1.0,0.01925239068030113,0.9393939393939394,0.3371113496973659
object100_pt_mobilenet_v2_01_137,15,0.9974874371859297,0.021756794874617204,0.8686868686868687,0.4612108074843582
