model,wanted,prediction,count
objects150_tf_efficientnet_b0_00_01,ecouteurs,ecouteurs,32
objects150_tf_efficientnet_b0_00_01,ecouteurs,keycap-puller,0
objects150_tf_efficientnet_b0_00_01,ecouteurs,other,0
objects150_tf_efficientnet_b0_00_01,ecouteurs,pc-stand,0
objects150_tf_efficientnet_b0_00_01,ecouteurs,porte-mine,0
objects150_tf_efficientnet_b0_00_01,keycap-puller,ecouteurs,1
objects150_tf_efficientnet_b0_00_01,keycap-puller,keycap-puller,25
objects150_tf_efficientnet_b0_00_01,keycap-puller,other,0
objects150_tf_efficientnet_b0_00_01,keycap-puller,pc-stand,0
objects150_tf_efficientnet_b0_00_01,keycap-puller,porte-mine,1
objects150_tf_efficientnet_b0_00_01,other,ecouteurs,0
objects150_tf_efficientnet_b0_00_01,other,keycap-puller,0
objects150_tf_efficientnet_b0_00_01,other,other,31
objects150_tf_efficientnet_b0_00_01,other,pc-stand,0
objects150_tf_efficientnet_b0_00_01,other,porte-mine,1
objects150_tf_efficientnet_b0_00_01,pc-stand,ecouteurs,0
objects150_tf_efficientnet_b0_00_01,pc-stand,keycap-puller,0
objects150_tf_efficientnet_b0_00_01,pc-stand,other,0
objects150_tf_efficientnet_b0_00_01,pc-stand,pc-stand,30
objects150_tf_efficientnet_b0_00_01,pc-stand,porte-mine,0
objects150_tf_efficientnet_b0_00_01,porte-mine,ecouteurs,1
objects150_tf_efficientnet_b0_00_01,porte-mine,keycap-puller,1
objects150_tf_efficientnet_b0_00_01,porte-mine,other,0
objects150_tf_efficientnet_b0_00_01,porte-mine,pc-stand,0
objects150_tf_efficientnet_b0_00_01,porte-mine,porte-mine,30
