model,wanted,prediction,count
object100_tf_mobilenet_v2_00_51,ecouteurs,ecouteurs,15
object100_tf_mobilenet_v2_00_51,ecouteurs,keycap-puller,3
object100_tf_mobilenet_v2_00_51,ecouteurs,other,5
object100_tf_mobilenet_v2_00_51,ecouteurs,pc-stand,0
object100_tf_mobilenet_v2_00_51,ecouteurs,porte-mine,0
object100_tf_mobilenet_v2_00_51,keycap-puller,ecouteurs,0
object100_tf_mobilenet_v2_00_51,keycap-puller,keycap-puller,7
object100_tf_mobilenet_v2_00_51,keycap-puller,other,3
object100_tf_mobilenet_v2_00_51,keycap-puller,pc-stand,2
object100_tf_mobilenet_v2_00_51,keycap-puller,porte-mine,10
object100_tf_mobilenet_v2_00_51,other,ecouteurs,3
object100_tf_mobilenet_v2_00_51,other,keycap-puller,0
object100_tf_mobilenet_v2_00_51,other,other,5
object100_tf_mobilenet_v2_00_51,other,pc-stand,4
object100_tf_mobilenet_v2_00_51,other,porte-mine,1
object100_tf_mobilenet_v2_00_51,pc-stand,ecouteurs,0
object100_tf_mobilenet_v2_00_51,pc-stand,keycap-puller,0
object100_tf_mobilenet_v2_00_51,pc-stand,other,4
object100_tf_mobilenet_v2_00_51,pc-stand,pc-stand,11
object100_tf_mobilenet_v2_00_51,pc-stand,porte-mine,1
object100_tf_mobilenet_v2_00_51,porte-mine,ecouteurs,1
object100_tf_mobilenet_v2_00_51,porte-mine,keycap-puller,3
object100_tf_mobilenet_v2_00_51,porte-mine,other,1
object100_tf_mobilenet_v2_00_51,porte-mine,pc-stand,2
object100_tf_mobilenet_v2_00_51,porte-mine,porte-mine,18
