model,wanted,prediction,count
object100_tf_mobilenet_v2_00_36,ecouteurs,ecouteurs,16
object100_tf_mobilenet_v2_00_36,ecouteurs,keycap-puller,2
object100_tf_mobilenet_v2_00_36,ecouteurs,other,2
object100_tf_mobilenet_v2_00_36,ecouteurs,pc-stand,1
object100_tf_mobilenet_v2_00_36,ecouteurs,porte-mine,2
object100_tf_mobilenet_v2_00_36,keycap-puller,ecouteurs,3
object100_tf_mobilenet_v2_00_36,keycap-puller,keycap-puller,12
object100_tf_mobilenet_v2_00_36,keycap-puller,other,0
object100_tf_mobilenet_v2_00_36,keycap-puller,pc-stand,5
object100_tf_mobilenet_v2_00_36,keycap-puller,porte-mine,2
object100_tf_mobilenet_v2_00_36,other,ecouteurs,3
object100_tf_mobilenet_v2_00_36,other,keycap-puller,2
object100_tf_mobilenet_v2_00_36,other,other,2
object100_tf_mobilenet_v2_00_36,other,pc-stand,5
object100_tf_mobilenet_v2_00_36,other,porte-mine,1
object100_tf_mobilenet_v2_00_36,pc-stand,ecouteurs,2
object100_tf_mobilenet_v2_00_36,pc-stand,keycap-puller,4
object100_tf_mobilenet_v2_00_36,pc-stand,other,0
object100_tf_mobilenet_v2_00_36,pc-stand,pc-stand,9
object100_tf_mobilenet_v2_00_36,pc-stand,porte-mine,1
object100_tf_mobilenet_v2_00_36,porte-mine,ecouteurs,7
object100_tf_mobilenet_v2_00_36,porte-mine,keycap-puller,1
object100_tf_mobilenet_v2_00_36,porte-mine,other,0
object100_tf_mobilenet_v2_00_36,porte-mine,pc-stand,9
object100_tf_mobilenet_v2_00_36,porte-mine,porte-mine,8
