model,wanted,prediction,count
object100_tf_mobilenet_v2_00_14,ecouteurs,ecouteurs,23
object100_tf_mobilenet_v2_00_14,ecouteurs,keycap-puller,0
object100_tf_mobilenet_v2_00_14,ecouteurs,other,0
object100_tf_mobilenet_v2_00_14,ecouteurs,pc-stand,0
object100_tf_mobilenet_v2_00_14,ecouteurs,porte-mine,0
object100_tf_mobilenet_v2_00_14,keycap-puller,ecouteurs,0
object100_tf_mobilenet_v2_00_14,keycap-puller,keycap-puller,20
object100_tf_mobilenet_v2_00_14,keycap-puller,other,1
object100_tf_mobilenet_v2_00_14,keycap-puller,pc-stand,0
object100_tf_mobilenet_v2_00_14,keycap-puller,porte-mine,1
object100_tf_mobilenet_v2_00_14,other,ecouteurs,0
object100_tf_mobilenet_v2_00_14,other,keycap-puller,0
object100_tf_mobilenet_v2_00_14,other,other,13
object100_tf_mobilenet_v2_00_14,other,pc-stand,0
object100_tf_mobilenet_v2_00_14,other,porte-mine,0
object100_tf_mobilenet_v2_00_14,pc-stand,ecouteurs,0
object100_tf_mobilenet_v2_00_14,pc-stand,keycap-puller,0
object100_tf_mobilenet_v2_00_14,pc-stand,other,0
object100_tf_mobilenet_v2_00_14,pc-stand,pc-stand,16
object100_tf_mobilenet_v2_00_14,pc-stand,porte-mine,0
object100_tf_mobilenet_v2_00_14,porte-mine,ecouteurs,0
object100_tf_mobilenet_v2_00_14,porte-mine,keycap-puller,1
object100_tf_mobilenet_v2_00_14,porte-mine,other,1
object100_tf_mobilenet_v2_00_14,porte-mine,pc-stand,1
object100_tf_mobilenet_v2_00_14,porte-mine,porte-mine,22
