model,wanted,prediction,count
object100_tf_mobilenet_v2_00_33,ecouteurs,ecouteurs,1
object100_tf_mobilenet_v2_00_33,ecouteurs,keycap-puller,12
object100_tf_mobilenet_v2_00_33,ecouteurs,other,2
object100_tf_mobilenet_v2_00_33,ecouteurs,pc-stand,8
object100_tf_mobilenet_v2_00_33,ecouteurs,porte-mine,0
object100_tf_mobilenet_v2_00_33,keycap-puller,ecouteurs,1
object100_tf_mobilenet_v2_00_33,keycap-puller,keycap-puller,9
object100_tf_mobilenet_v2_00_33,keycap-puller,other,2
object100_tf_mobilenet_v2_00_33,keycap-puller,pc-stand,7
object100_tf_mobilenet_v2_00_33,keycap-puller,porte-mine,3
object100_tf_mobilenet_v2_00_33,other,ecouteurs,0
object100_tf_mobilenet_v2_00_33,other,keycap-puller,3
object100_tf_mobilenet_v2_00_33,other,other,0
object100_tf_mobilenet_v2_00_33,other,pc-stand,7
object100_tf_mobilenet_v2_00_33,other,porte-mine,3
object100_tf_mobilenet_v2_00_33,pc-stand,ecouteurs,3
object100_tf_mobilenet_v2_00_33,pc-stand,keycap-puller,7
object100_tf_mobilenet_v2_00_33,pc-stand,other,3
object100_tf_mobilenet_v2_00_33,pc-stand,pc-stand,1
object100_tf_mobilenet_v2_00_33,pc-stand,porte-mine,2
object100_tf_mobilenet_v2_00_33,porte-mine,ecouteurs,4
object100_tf_mobilenet_v2_00_33,porte-mine,keycap-puller,10
object100_tf_mobilenet_v2_00_33,porte-mine,other,3
object100_tf_mobilenet_v2_00_33,porte-mine,pc-stand,4
object100_tf_mobilenet_v2_00_33,porte-mine,porte-mine,4
