model,wanted,prediction,count
object100_pt_mobilenet_v2_02_65,ecouteurs,ecouteurs,16
object100_pt_mobilenet_v2_02_65,ecouteurs,keycap-puller,0
object100_pt_mobilenet_v2_02_65,ecouteurs,other,0
object100_pt_mobilenet_v2_02_65,ecouteurs,pc-stand,0
object100_pt_mobilenet_v2_02_65,ecouteurs,porte-mine,0
object100_pt_mobilenet_v2_02_65,keycap-puller,ecouteurs,0
object100_pt_mobilenet_v2_02_65,keycap-puller,keycap-puller,25
object100_pt_mobilenet_v2_02_65,keycap-puller,other,2
object100_pt_mobilenet_v2_02_65,keycap-puller,pc-stand,0
object100_pt_mobilenet_v2_02_65,keycap-puller,porte-mine,2
object100_pt_mobilenet_v2_02_65,other,ecouteurs,0
object100_pt_mobilenet_v2_02_65,other,keycap-puller,1
object100_pt_mobilenet_v2_02_65,other,other,17
object100_pt_mobilenet_v2_02_65,other,pc-stand,0
object100_pt_mobilenet_v2_02_65,other,porte-mine,1
object100_pt_mobilenet_v2_02_65,pc-stand,ecouteurs,0
object100_pt_mobilenet_v2_02_65,pc-stand,keycap-puller,0
object100_pt_mobilenet_v2_02_65,pc-stand,other,0
object100_pt_mobilenet_v2_02_65,pc-stand,pc-stand,15
object100_pt_mobilenet_v2_02_65,pc-stand,porte-mine,1
object100_pt_mobilenet_v2_02_65,porte-mine,ecouteurs,0
object100_pt_mobilenet_v2_02_65,porte-mine,keycap-puller,0
object100_pt_mobilenet_v2_02_65,porte-mine,other,0
object100_pt_mobilenet_v2_02_65,porte-mine,pc-stand,0
object100_pt_mobilenet_v2_02_65,porte-mine,porte-mine,19
