model,wanted,prediction,count
object100_tf_mobilenet_v2_00_30,ecouteurs,ecouteurs,0
object100_tf_mobilenet_v2_00_30,ecouteurs,keycap-puller,7
object100_tf_mobilenet_v2_00_30,ecouteurs,other,15
object100_tf_mobilenet_v2_00_30,ecouteurs,pc-stand,0
object100_tf_mobilenet_v2_00_30,ecouteurs,porte-mine,1
object100_tf_mobilenet_v2_00_30,keycap-puller,ecouteurs,1
object100_tf_mobilenet_v2_00_30,keycap-puller,keycap-puller,4
object100_tf_mobilenet_v2_00_30,keycap-puller,other,13
object100_tf_mobilenet_v2_00_30,keycap-puller,pc-stand,3
object100_tf_mobilenet_v2_00_30,keycap-puller,porte-mine,1
object100_tf_mobilenet_v2_00_30,other,ecouteurs,0
object100_tf_mobilenet_v2_00_30,other,keycap-puller,3
object100_tf_mobilenet_v2_00_30,other,other,7
object100_tf_mobilenet_v2_00_30,other,pc-stand,0
object100_tf_mobilenet_v2_00_30,other,porte-mine,3
object100_tf_mobilenet_v2_00_30,pc-stand,ecouteurs,0
object100_tf_mobilenet_v2_00_30,pc-stand,keycap-puller,4
object100_tf_mobilenet_v2_00_30,pc-stand,other,11
object100_tf_mobilenet_v2_00_30,pc-stand,pc-stand,0
object100_tf_mobilenet_v2_00_30,pc-stand,porte-mine,1
object100_tf_mobilenet_v2_00_30,porte-mine,ecouteurs,2
object100_tf_mobilenet_v2_00_30,porte-mine,keycap-puller,6
object100_tf_mobilenet_v2_00_30,porte-mine,other,14
object100_tf_mobilenet_v2_00_30,porte-mine,pc-stand,0
object100_tf_mobilenet_v2_00_30,porte-mine,porte-mine,3
