model,wanted,prediction,count
object100_pt_mobilenet_v2_02_95,ecouteurs,ecouteurs,16
object100_pt_mobilenet_v2_02_95,ecouteurs,keycap-puller,0
object100_pt_mobilenet_v2_02_95,ecouteurs,other,0
object100_pt_mobilenet_v2_02_95,ecouteurs,pc-stand,0
object100_pt_mobilenet_v2_02_95,ecouteurs,porte-mine,0
object100_pt_mobilenet_v2_02_95,keycap-puller,ecouteurs,0
object100_pt_mobilenet_v2_02_95,keycap-puller,keycap-puller,26
object100_pt_mobilenet_v2_02_95,keycap-puller,other,1
object100_pt_mobilenet_v2_02_95,keycap-puller,pc-stand,0
object100_pt_mobilenet_v2_02_95,keycap-puller,porte-mine,2
object100_pt_mobilenet_v2_02_95,other,ecouteurs,1
object100_pt_mobilenet_v2_02_95,other,keycap-puller,1
object100_pt_mobilenet_v2_02_95,other,other,16
object100_pt_mobilenet_v2_02_95,other,pc-stand,0
object100_pt_mobilenet_v2_02_95,other,porte-mine,1
object100_pt_mobilenet_v2_02_95,pc-stand,ecouteurs,0
object100_pt_mobilenet_v2_02_95,pc-stand,keycap-puller,0
object100_pt_mobilenet_v2_02_95,pc-stand,other,0
object100_pt_mobilenet_v2_02_95,pc-stand,pc-stand,16
object100_pt_mobilenet_v2_02_95,pc-stand,porte-mine,0
object100_pt_mobilenet_v2_02_95,porte-mine,ecouteurs,0
object100_pt_mobilenet_v2_02_95,porte-mine,keycap-puller,0
object100_pt_mobilenet_v2_02_95,porte-mine,other,0
object100_pt_mobilenet_v2_02_95,porte-mine,pc-stand,0
object100_pt_mobilenet_v2_02_95,porte-mine,porte-mine,19
