model,wanted,prediction,count
object100_pt_mobilenet_v2_02_91,ecouteurs,ecouteurs,16
object100_pt_mobilenet_v2_02_91,ecouteurs,keycap-puller,0
object100_pt_mobilenet_v2_02_91,ecouteurs,other,0
object100_pt_mobilenet_v2_02_91,ecouteurs,pc-stand,0
object100_pt_mobilenet_v2_02_91,ecouteurs,porte-mine,0
object100_pt_mobilenet_v2_02_91,keycap-puller,ecouteurs,0
object100_pt_mobilenet_v2_02_91,keycap-puller,keycap-puller,27
object100_pt_mobilenet_v2_02_91,keycap-puller,other,1
object100_pt_mobilenet_v2_02_91,keycap-puller,pc-stand,0
object100_pt_mobilenet_v2_02_91,keycap-puller,porte-mine,1
object100_pt_mobilenet_v2_02_91,other,ecouteurs,1
object100_pt_mobilenet_v2_02_91,other,keycap-puller,2
object100_pt_mobilenet_v2_02_91,other,other,15
object100_pt_mobilenet_v2_02_91,other,pc-stand,0
object100_pt_mobilenet_v2_02_91,other,porte-mine,1
object100_pt_mobilenet_v2_02_91,pc-stand,ecouteurs,0
object100_pt_mobilenet_v2_02_91,pc-stand,keycap-puller,0
object100_pt_mobilenet_v2_02_91,pc-stand,other,0
object100_pt_mobilenet_v2_02_91,pc-stand,pc-stand,13
object100_pt_mobilenet_v2_02_91,pc-stand,porte-mine,3
object100_pt_mobilenet_v2_02_91,porte-mine,ecouteurs,0
object100_pt_mobilenet_v2_02_91,porte-mine,keycap-puller,3
object100_pt_mobilenet_v2_02_91,porte-mine,other,0
object100_pt_mobilenet_v2_02_91,porte-mine,pc-stand,0
object100_pt_mobilenet_v2_02_91,porte-mine,porte-mine,16
