model,wanted,prediction,count
object100_pt_mobilenet_v2_01_207,ecouteurs,ecouteurs,16
object100_pt_mobilenet_v2_01_207,ecouteurs,keycap-puller,0
object100_pt_mobilenet_v2_01_207,ecouteurs,other,0
object100_pt_mobilenet_v2_01_207,ecouteurs,pc-stand,0
object100_pt_mobilenet_v2_01_207,ecouteurs,porte-mine,0
object100_pt_mobilenet_v2_01_207,keycap-puller,ecouteurs,1
object100_pt_mobilenet_v2_01_207,keycap-puller,keycap-puller,24
object100_pt_mobilenet_v2_01_207,keycap-puller,other,2
object100_pt_mobilenet_v2_01_207,keycap-puller,pc-stand,0
object100_pt_mobilenet_v2_01_207,keycap-puller,porte-mine,2
object100_pt_mobilenet_v2_01_207,other,ecouteurs,1
object100_pt_mobilenet_v2_01_207,other,keycap-puller,2
object100_pt_mobilenet_v2_01_207,other,other,15
object100_pt_mobilenet_v2_01_207,other,pc-stand,1
object100_pt_mobilenet_v2_01_207,other,porte-mine,0
object100_pt_mobilenet_v2_01_207,pc-stand,ecouteurs,1
object100_pt_mobilenet_v2_01_207,pc-stand,keycap-puller,0
object100_pt_mobilenet_v2_01_207,pc-stand,other,0
object100_pt_mobilenet_v2_01_207,pc-stand,pc-stand,15
object100_pt_mobilenet_v2_01_207,pc-stand,porte-mine,0
object100_pt_mobilenet_v2_01_207,porte-mine,ecouteurs,0
object100_pt_mobilenet_v2_01_207,porte-mine,keycap-puller,2
object100_pt_mobilenet_v2_01_207,porte-mine,other,0
object100_pt_mobilenet_v2_01_207,porte-mine,pc-stand,0
object100_pt_mobilenet_v2_01_207,porte-mine,porte-mine,17
