model,wanted,prediction,count
object100_tf_efficientnet_b0_00_32,ecouteurs,ecouteurs,23
object100_tf_efficientnet_b0_00_32,ecouteurs,keycap-puller,0
object100_tf_efficientnet_b0_00_32,ecouteurs,other,0
object100_tf_efficientnet_b0_00_32,ecouteurs,pc-stand,0
object100_tf_efficientnet_b0_00_32,ecouteurs,porte-mine,0
object100_tf_efficientnet_b0_00_32,keycap-puller,ecouteurs,0
object100_tf_efficientnet_b0_00_32,keycap-puller,keycap-puller,21
object100_tf_efficientnet_b0_00_32,keycap-puller,other,1
object100_tf_efficientnet_b0_00_32,keycap-puller,pc-stand,0
object100_tf_efficientnet_b0_00_32,keycap-puller,porte-mine,0
object100_tf_efficientnet_b0_00_32,other,ecouteurs,0
object100_tf_efficientnet_b0_00_32,other,keycap-puller,0
object100_tf_efficientnet_b0_00_32,other,other,13
object100_tf_efficientnet_b0_00_32,other,pc-stand,0
object100_tf_efficientnet_b0_00_32,other,porte-mine,0
object100_tf_efficientnet_b0_00_32,pc-stand,ecouteurs,0
object100_tf_efficientnet_b0_00_32,pc-stand,keycap-puller,0
object100_tf_efficientnet_b0_00_32,pc-stand,other,0
object100_tf_efficientnet_b0_00_32,pc-stand,pc-stand,16
object100_tf_efficientnet_b0_00_32,pc-stand,porte-mine,0
object100_tf_efficientnet_b0_00_32,porte-mine,ecouteurs,0
object100_tf_efficientnet_b0_00_32,porte-mine,keycap-puller,0
object100_tf_efficientnet_b0_00_32,porte-mine,other,0
object100_tf_efficientnet_b0_00_32,porte-mine,pc-stand,1
object100_tf_efficientnet_b0_00_32,porte-mine,porte-mine,24
