model,wanted,prediction,count
object100_pt_efficientnet_b0_00_63,ecouteurs,ecouteurs,16
object100_pt_efficientnet_b0_00_63,ecouteurs,keycap-puller,0
object100_pt_efficientnet_b0_00_63,ecouteurs,other,0
object100_pt_efficientnet_b0_00_63,ecouteurs,pc-stand,0
object100_pt_efficientnet_b0_00_63,ecouteurs,porte-mine,0
object100_pt_efficientnet_b0_00_63,keycap-puller,ecouteurs,0
object100_pt_efficientnet_b0_00_63,keycap-puller,keycap-puller,25
object100_pt_efficientnet_b0_00_63,keycap-puller,other,1
object100_pt_efficientnet_b0_00_63,keycap-puller,pc-stand,0
object100_pt_efficientnet_b0_00_63,keycap-puller,porte-mine,3
object100_pt_efficientnet_b0_00_63,other,ecouteurs,3
object100_pt_efficientnet_b0_00_63,other,keycap-puller,1
object100_pt_efficientnet_b0_00_63,other,other,15
object100_pt_efficientnet_b0_00_63,other,pc-stand,0
object100_pt_efficientnet_b0_00_63,other,porte-mine,0
object100_pt_efficientnet_b0_00_63,pc-stand,ecouteurs,0
object100_pt_efficientnet_b0_00_63,pc-stand,keycap-puller,0
object100_pt_efficientnet_b0_00_63,pc-stand,other,0
object100_pt_efficientnet_b0_00_63,pc-stand,pc-stand,16
object100_pt_efficientnet_b0_00_63,pc-stand,porte-mine,0
object100_pt_efficientnet_b0_00_63,porte-mine,ecouteurs,0
object100_pt_efficientnet_b0_00_63,porte-mine,keycap-puller,0
object100_pt_efficientnet_b0_00_63,porte-mine,other,0
object100_pt_efficientnet_b0_00_63,porte-mine,pc-stand,0
object100_pt_efficientnet_b0_00_63,porte-mine,porte-mine,19
