model,epoch,accuracy,loss,val_accuracy,val_loss
object100_pt_mobilenet_v2_02_157,0,0.5100502512562815,1.275086886319683,0.8080808080808081,0.7644451218422013
object100_pt_mobilenet_v2_02_157,1,0.8517587939698492,0.5290242975680672,0.8080808080808081,0.455531540543142
object100_pt_mobilenet_v2_02_157,2,0.8969849246231156,0.30627425516670076,0.8686868686868687,0.39706175977533514
object100_pt_mobilenet_v2_02_157,3,0.9170854271356784,0.22333369980655124,0.9191919191919192,0.28993004093868563
object100_pt_mobilenet_v2_02_157,4,0.9271356783919598,0.1940851837171981,0.8888888888888888,0.3116191819009155
object100_pt_mobilenet_v2_02_157,5,0.9472361809045227,0.13270200504429974,0.898989898989899,0.36670406125109606
object100_pt_mobilenet_v2_02_157,6,0.9422110552763819,0.13621700165709058,0.9090909090909091,0.3243674754230964
object100_pt_mobilenet_v2_02_157,7,0.9371859296482412,0.16249879688754604,0.9191919191919192,0.3090237755366046
object100_pt_mobilenet_v2_02_157,8,0.949748743718593,0.1148163484942973,0.8484848484848485,0.4581808164866284
object100_pt_mobilenet_v2_02_157,9,0.9371859296482412,0.15771544413949976,0.898989898989899,0.33375539683332345
object100_pt_mobilenet_v2_02_157,10,0.9547738693467337,0.12869634295827778,0.9090909090909091,0.3431643985136591
object100_pt_mobilenet_v2_02_157,11,0.9773869346733668,0.08383065050271288,0.8888888888888888,0.43392075673498287
object100_pt_mobilenet_v2_02_157,12,0.9723618090452262,0.08377610042167069,0.7777777777777778,0.8023973847880508
object100_pt_mobilenet_v2_02_157,13,0.9748743718592965,0.06677417414047611,0.8888888888888888,0.4095203226262873
object100_pt_mobilenet_v2_02_157,14,0.7738693467336684,0.612113719759275,0.7373737373737373,0.6143101526029182
object100_pt_mobilenet_v2_02_157,15,0.914572864321608,0.29729958855776334,0.8282828282828283,0.5081157935689194
object100_pt_mobilenet_v2_02_157,16,0.9221105527638191,0.20612931962887845,0.9191919191919192,0.2502092213153538
object100_pt_mobilenet_v2_02_157,17,0.964824120603015,0.10844702382183555,0.8383838383838383,0.4573820374078221
object100_pt_mobilenet_v2_02_157,18,0.9522613065326633,0.11599250733103585,0.898989898989899,0.2659482392999861
object100_pt_mobilenet_v2_02_157,19,0.957286432160804,0.11143161557221683,0.9494949494949495,0.20721562936751528
object100_pt_mobilenet_v2_02_157,20,0.9673366834170855,0.0687210681150906,0.8888888888888888,0.36026716292506517
object100_pt_mobilenet_v2_02_157,21,0.9874371859296482,0.04181070767586405,0.8080808080808081,0.8752678566508822
object100_pt_mobilenet_v2_02_157,22,0.9723618090452262,0.09974547808793321,0.9494949494949495,0.25681230751327194
object100_pt_mobilenet_v2_02_157,23,0.9824120603015075,0.053585836574921955,0.898989898989899,0.3463109736095625
object100_pt_mobilenet_v2_02_157,24,0.992462311557789,0.04084616055684024,0.8888888888888888,0.43016930857692104
object100_pt_mobilenet_v2_02_157,25,0.9874371859296482,0.02619579953291271,0.9090909090909091,0.36389106572746777
object100_pt_mobilenet_v2_02_157,26,0.992462311557789,0.0373438676004883,0.9191919191919192,0.3172777637975209
object100_pt_mobilenet_v2_02_157,27,0.9949748743718593,0.018789280032804563,0.8686868686868687,0.5468690901656043
object100_pt_mobilenet_v2_02_157,28,0.9899497487437185,0.0244183315705811,0.9595959595959596,0.2424265036660463
object100_pt_mobilenet_v2_02_157,29,0.9949748743718593,0.03443315372938038,0.7878787878787878,0.996084339488674
