model,wanted,prediction,count
object100_tf_mobilenet_v2_00_31,ecouteurs,ecouteurs,14
object100_tf_mobilenet_v2_00_31,ecouteurs,keycap-puller,0
object100_tf_mobilenet_v2_00_31,ecouteurs,other,7
object100_tf_mobilenet_v2_00_31,ecouteurs,pc-stand,1
object100_tf_mobilenet_v2_00_31,ecouteurs,porte-mine,1
object100_tf_mobilenet_v2_00_31,keycap-puller,ecouteurs,2
object100_tf_mobilenet_v2_00_31,keycap-puller,keycap-puller,6
object100_tf_mobilenet_v2_00_31,keycap-puller,other,4
object100_tf_mobilenet_v2_00_31,keycap-puller,pc-stand,0
object100_tf_mobilenet_v2_00_31,keycap-puller,porte-mine,10
object100_tf_mobilenet_v2_00_31,other,ecouteurs,0
object100_tf_mobilenet_v2_00_31,other,keycap-puller,0
object100_tf_mobilenet_v2_00_31,other,other,9
object100_tf_mobilenet_v2_00_31,other,pc-stand,3
object100_tf_mobilenet_v2_00_31,other,porte-mine,1
object100_tf_mobilenet_v2_00_31,pc-stand,ecouteurs,0
object100_tf_mobilenet_v2_00_31,pc-stand,keycap-puller,0
object100_tf_mobilenet_v2_00_31,pc-stand,other,0
object100_tf_mobilenet_v2_00_31,pc-stand,pc-stand,8
object100_tf_mobilenet_v2_00_31,pc-stand,porte-mine,8
object100_tf_mobilenet_v2_00_31,porte-mine,ecouteurs,0
object100_tf_mobilenet_v2_00_31,porte-mine,keycap-puller,3
object100_tf_mobilenet_v2_00_31,porte-mine,other,5
object100_tf_mobilenet_v2_00_31,porte-mine,pc-stand,0
object100_tf_mobilenet_v2_00_31,porte-mine,porte-mine,17
