model,wanted,prediction,count
objects150_tf_efficientnet_b0_00_00,ecouteurs,ecouteurs,32
objects150_tf_efficientnet_b0_00_00,ecouteurs,keycap-puller,0
objects150_tf_efficientnet_b0_00_00,ecouteurs,other,0
objects150_tf_efficientnet_b0_00_00,ecouteurs,pc-stand,0
objects150_tf_efficientnet_b0_00_00,ecouteurs,porte-mine,0
objects150_tf_efficientnet_b0_00_00,keycap-puller,ecouteurs,0
objects150_tf_efficientnet_b0_00_00,keycap-puller,keycap-puller,26
objects150_tf_efficientnet_b0_00_00,keycap-puller,other,0
objects150_tf_efficientnet_b0_00_00,keycap-puller,pc-stand,0
objects150_tf_efficientnet_b0_00_00,keycap-puller,porte-mine,1
objects150_tf_efficientnet_b0_00_00,other,ecouteurs,0
objects150_tf_efficientnet_b0_00_00,other,keycap-puller,0
objects150_tf_efficientnet_b0_00_00,other,other,32
objects150_tf_efficientnet_b0_00_00,other,pc-stand,0
objects150_tf_efficientnet_b0_00_00,other,porte-mine,0
objects150_tf_efficientnet_b0_00_00,pc-stand,ecouteurs,0
objects150_tf_efficientnet_b0_00_00,pc-stand,keycap-puller,0
objects150_tf_efficientnet_b0_00_00,pc-stand,other,0
objects150_tf_efficientnet_b0_00_00,pc-stand,pc-stand,30
objects150_tf_efficientnet_b0_00_00,pc-stand,porte-mine,0
objects150_tf_efficientnet_b0_00_00,porte-mine,ecouteurs,0
objects150_tf_efficientnet_b0_00_00,porte-mine,keycap-puller,0
objects150_tf_efficientnet_b0_00_00,porte-mine,other,0
objects150_tf_efficientnet_b0_00_00,porte-mine,pc-stand,0
objects150_tf_efficientnet_b0_00_00,porte-mine,porte-mine,32
