model,epoch,accuracy,loss,val_accuracy,val_loss
object100_pt_mobilenet_v2_02_177,0,0.38944723618090454,1.4728208687437239,0.6060606060606061,1.2067026718698366
object100_pt_mobilenet_v2_02_177,1,0.7587939698492462,0.8574668369700561,0.7676767676767676,0.7322675122155083
object100_pt_mobilenet_v2_02_177,2,0.8015075376884422,0.5045553057936568,0.8181818181818182,0.518997645137286
object100_pt_mobilenet_v2_02_177,3,0.871859296482412,0.3503663911292301,0.8282828282828283,0.4768926410964041
object100_pt_mobilenet_v2_02_177,4,0.9020100502512562,0.24786581069081273,0.7474747474747475,0.665605219927701
object100_pt_mobilenet_v2_02_177,5,0.8844221105527639,0.2914539355428974,0.8383838383838383,0.4954430635529335
object100_pt_mobilenet_v2_02_177,6,0.914572864321608,0.24722729945302607,0.7777777777777778,0.6027676722015998
object100_pt_mobilenet_v2_02_177,7,0.9396984924623115,0.18945596310960588,0.898989898989899,0.3540488150384691
object100_pt_mobilenet_v2_02_177,8,0.9296482412060302,0.19576318195117778,0.9191919191919192,0.30659991231831635
object100_pt_mobilenet_v2_02_177,9,0.9422110552763819,0.15655634477360164,0.9393939393939394,0.28160513802008197
object100_pt_mobilenet_v2_02_177,10,0.9472361809045227,0.1631812907044013,0.9292929292929293,0.2969052017939211
object100_pt_mobilenet_v2_02_177,11,0.9522613065326633,0.1416749183706303,0.9191919191919192,0.29391199681493974
object100_pt_mobilenet_v2_02_177,12,0.9673366834170855,0.10441839657536703,0.898989898989899,0.3416798777050442
object100_pt_mobilenet_v2_02_177,13,0.949748743718593,0.15842168965381592,0.8787878787878788,0.4047434155387108
object100_pt_mobilenet_v2_02_177,14,0.9547738693467337,0.14114493580918816,0.9393939393939394,0.27475657035606077
object100_pt_mobilenet_v2_02_177,15,0.9597989949748744,0.11077743559027436,0.898989898989899,0.38682912937318437
object100_pt_mobilenet_v2_02_177,16,0.9623115577889447,0.11081308643123013,0.898989898989899,0.3755433162053426
object100_pt_mobilenet_v2_02_177,17,0.9698492462311558,0.08048469767947893,0.898989898989899,0.387186951107449
object100_pt_mobilenet_v2_02_177,18,0.9623115577889447,0.09275456665823208,0.9090909090909091,0.3332700620998036
object100_pt_mobilenet_v2_02_177,19,0.9547738693467337,0.12061728275001947,0.898989898989899,0.3544005239852751
object100_pt_mobilenet_v2_02_177,20,0.9597989949748744,0.10564410911133541,0.8383838383838383,0.4671826639560738
object100_pt_mobilenet_v2_02_177,21,0.9597989949748744,0.1327726654989186,0.7373737373737373,0.7645012898878618
object100_pt_mobilenet_v2_02_177,22,0.9673366834170855,0.09364340441937946,0.7575757575757576,0.7128898242507318
object100_pt_mobilenet_v2_02_177,23,0.9597989949748744,0.11312668272598304,0.8585858585858586,0.47253883727873214
object100_pt_mobilenet_v2_02_177,24,0.9723618090452262,0.06441797997016253,0.898989898989899,0.3669270138547878
object100_pt_mobilenet_v2_02_177,25,0.7839195979899497,0.6902170735387946,0.797979797979798,0.5023661045112995
object100_pt_mobilenet_v2_02_177,26,0.9321608040201005,0.3204483782975518,0.797979797979798,0.481218680588886
object100_pt_mobilenet_v2_02_177,27,0.9396984924623115,0.15726302459311844,0.7676767676767676,0.8052911758422852
object100_pt_mobilenet_v2_02_177,28,0.957286432160804,0.12554503092776292,0.7474747474747475,0.8074591220027268
object100_pt_mobilenet_v2_02_177,29,0.9547738693467337,0.10342402810502292,0.898989898989899,0.31353574178435584
object100_pt_mobilenet_v2_02_177,30,0.9874371859296482,0.0611107649665382,0.898989898989899,0.3452498093999998
object100_pt_mobilenet_v2_02_177,31,0.9849246231155779,0.056716985401496216,0.9090909090909091,0.3631323684345592
object100_pt_mobilenet_v2_02_177,32,0.9623115577889447,0.11760137164637671,0.9393939393939394,0.21137776278486156
object100_pt_mobilenet_v2_02_177,33,0.9798994974874372,0.049592187532209724,0.9292929292929293,0.28043550433534564
object100_pt_mobilenet_v2_02_177,34,0.992462311557789,0.031377346519305925,0.8686868686868687,0.4052673719748102
object100_pt_mobilenet_v2_02_177,35,0.992462311557789,0.0178224557879657,0.9090909090909091,0.3209352162149217
object100_pt_mobilenet_v2_02_177,36,0.9974874371859297,0.025303913831439373,0.9595959595959596,0.26209869100288913
object100_pt_mobilenet_v2_02_177,37,1.0,0.011841585775416101,0.8484848484848485,0.5152582640599723
object100_pt_mobilenet_v2_02_177,38,0.9824120603015075,0.038913089725839435,0.9696969696969697,0.2816257260062478
object100_pt_mobilenet_v2_02_177,39,0.9723618090452262,0.10890739347935471,0.8383838383838383,0.532694095312947
object100_pt_mobilenet_v2_02_177,40,0.9824120603015075,0.05352260487799968,0.797979797979798,0.7178180651231245
object100_pt_mobilenet_v2_02_177,41,0.9698492462311558,0.07386436264718597,0.898989898989899,0.4393776326694272
object100_pt_mobilenet_v2_02_177,42,0.9824120603015075,0.04429057729547497,0.8888888888888888,0.3887468293459729
