model,epoch,accuracy,loss,val_accuracy,val_loss
object100_pt_mobilenet_v2_01_19,0,0.5226130653266332,1.3515972641844247,0.7878787878787878,0.8823695026262842
object100_pt_mobilenet_v2_01_19,1,0.8592964824120602,0.5571436378824052,0.797979797979798,0.499557712764451
object100_pt_mobilenet_v2_01_19,2,0.8994974874371859,0.2750022350506267,0.7676767676767676,0.5960072905126245
object100_pt_mobilenet_v2_01_19,3,0.9472361809045227,0.16693666172986055,0.8888888888888888,0.3183508114230753
object100_pt_mobilenet_v2_01_19,4,0.9698492462311558,0.09058505757220427,0.8383838383838383,0.3934731764549559
object100_pt_mobilenet_v2_01_19,5,0.9849246231155779,0.05150506252319968,0.898989898989899,0.3390265594452921
object100_pt_mobilenet_v2_01_19,6,0.9949748743718593,0.03282920741031518,0.898989898989899,0.41848274574596245
object100_pt_mobilenet_v2_01_19,7,0.992462311557789,0.02920333553929275,0.797979797979798,0.8043830276589201
object100_pt_mobilenet_v2_01_19,8,0.9874371859296482,0.03457180893834886,0.9191919191919192,0.34300972671821867
object100_pt_mobilenet_v2_01_19,9,1.0,0.01246612671126223,0.9393939393939394,0.33801231296225026
object100_pt_mobilenet_v2_01_19,10,1.0,0.007165914574572489,0.898989898989899,0.3994683715858205
object100_pt_mobilenet_v2_01_19,11,1.0,0.00540925431282882,0.9191919191919192,0.3830973245509232
object100_pt_mobilenet_v2_01_19,12,1.0,0.00448888768418575,0.9191919191919192,0.4023385057366933
object100_pt_mobilenet_v2_01_19,13,1.0,0.003193805558167061,0.9292929292929293,0.4040626860670557
