model,epoch,accuracy,loss,val_accuracy,val_loss
object100_tf_mobilenet_v2_00_17,0,0.5226130485534668,1.267881155014038,0.8787878751754761,0.5165011286735535
object100_tf_mobilenet_v2_00_17,1,0.8065326809883118,0.5172736048698425,0.9090909361839294,0.4084389805793762
object100_tf_mobilenet_v2_00_17,2,0.8844221234321594,0.34609997272491455,0.8787878751754761,0.4308048188686371
object100_tf_mobilenet_v2_00_17,3,0.8718593120574951,0.33323776721954346,0.8989899158477783,0.3665386438369751
object100_tf_mobilenet_v2_00_17,4,0.9246231317520142,0.21641652286052704,0.8787878751754761,0.36419084668159485
object100_tf_mobilenet_v2_00_17,5,0.9246231317520142,0.20306749641895294,0.8989899158477783,0.3679972290992737
object100_tf_mobilenet_v2_00_17,6,0.9195979833602905,0.25077489018440247,0.8989899158477783,0.4421674609184265
object100_tf_mobilenet_v2_00_17,7,0.9321607947349548,0.19888973236083984,0.8989899158477783,0.3636993169784546
object100_tf_mobilenet_v2_00_17,8,0.9648241400718689,0.12228333204984665,0.8787878751754761,0.3654298186302185
object100_tf_mobilenet_v2_00_17,9,0.9547738432884216,0.12890082597732544,0.8888888955116272,0.41525962948799133
object100_tf_mobilenet_v2_00_17,10,0.9371859431266785,0.17966726422309875,0.8989899158477783,0.3696368336677551
object100_tf_mobilenet_v2_00_17,11,0.9497487545013428,0.12741625308990479,0.8989899158477783,0.37046778202056885
object100_tf_mobilenet_v2_00_17,12,0.9572864174842834,0.11296925693750381,0.8787878751754761,0.41962093114852905
