model,epoch,accuracy,loss,val_accuracy,val_loss
object100_pt_efficientnet_b0_00_04,0,0.6005025125628141,1.334337372576172,0.8181818181818182,1.040453912031771
object100_pt_efficientnet_b0_00_04,1,0.8618090452261307,0.7278287473635457,0.898989898989899,0.6042651786948695
object100_pt_efficientnet_b0_00_04,2,0.9547738693467337,0.39800547595000146,0.9090909090909091,0.4219353978682046
object100_pt_efficientnet_b0_00_04,3,0.9396984924623115,0.2692789138861038,0.9292929292929293,0.3382048052970809
object100_pt_efficientnet_b0_00_04,4,0.957286432160804,0.21100780652396045,0.9292929292929293,0.3171958175271448
object100_pt_efficientnet_b0_00_04,5,0.949748743718593,0.1796358223985787,0.9191919191919192,0.32464240656958687
object100_pt_efficientnet_b0_00_04,6,0.9748743718592965,0.14011219600636757,0.9292929292929293,0.29369522638694207
object100_pt_efficientnet_b0_00_04,7,0.9698492462311558,0.12667464573479179,0.9191919191919192,0.3084312520845972
object100_pt_efficientnet_b0_00_04,8,0.9798994974874372,0.11100847446289494,0.9191919191919192,0.3103952638880171
object100_pt_efficientnet_b0_00_04,9,0.9798994974874372,0.09009364022681461,0.9292929292929293,0.27978049049323256
object100_pt_efficientnet_b0_00_04,10,0.9623115577889447,0.09911903012637517,0.9191919191919192,0.2850485754133475
object100_pt_efficientnet_b0_00_04,11,0.9824120603015075,0.08093197647500877,0.9191919191919192,0.27618137363231543
object100_pt_efficientnet_b0_00_04,12,0.9874371859296482,0.07068721790933728,0.9191919191919192,0.3012396102827607
object100_pt_efficientnet_b0_00_04,13,0.9849246231155779,0.06913472411583117,0.9090909090909091,0.2977180199866945
object100_pt_efficientnet_b0_00_04,14,0.9874371859296482,0.05756945782645264,0.9090909090909091,0.2934142213051367
object100_pt_efficientnet_b0_00_04,15,0.992462311557789,0.057012329364766426,0.898989898989899,0.3216690844056582
object100_pt_efficientnet_b0_00_04,16,0.9874371859296482,0.06337291339234491,0.898989898989899,0.31995862778840645
object100_pt_efficientnet_b0_00_04,17,0.9874371859296482,0.05681230012683114,0.9090909090909091,0.3510953977026723
object100_pt_efficientnet_b0_00_04,18,0.9949748743718593,0.04056705283609467,0.9191919191919192,0.31422036609640625
object100_pt_efficientnet_b0_00_04,19,0.9849246231155779,0.0511230471632888,0.9191919191919192,0.30466310501173893
object100_pt_efficientnet_b0_00_04,20,0.992462311557789,0.04170826749511101,0.9292929292929293,0.29447112490206656
object100_pt_efficientnet_b0_00_04,21,0.9974874371859297,0.03491095842877824,0.9494949494949495,0.286361595314711
object100_pt_efficientnet_b0_00_04,22,0.9773869346733668,0.0956996369582774,0.9494949494949495,0.22905030016872016
object100_pt_efficientnet_b0_00_04,23,0.9874371859296482,0.04777112677131765,0.9292929292929293,0.2524075917052952
object100_pt_efficientnet_b0_00_04,24,0.9974874371859297,0.01995114263278156,0.9191919191919192,0.3279174066553212
object100_pt_efficientnet_b0_00_04,25,0.9899497487437185,0.04685982872015942,0.9595959595959596,0.2526996242555065
object100_pt_efficientnet_b0_00_04,26,0.992462311557789,0.026143588944707984,0.9191919191919192,0.24583072069740733
object100_pt_efficientnet_b0_00_04,27,0.9974874371859297,0.013365745038992197,0.9090909090909091,0.27965880852343156
object100_pt_efficientnet_b0_00_04,28,1.0,0.008043400905839163,0.9090909090909091,0.2923203982375186
object100_pt_efficientnet_b0_00_04,29,0.9949748743718593,0.01068493929087891,0.9090909090909091,0.2870987908764168
object100_pt_efficientnet_b0_00_04,30,1.0,0.011200049138000824,0.9191919191919192,0.2802116557993371
object100_pt_efficientnet_b0_00_04,31,0.992462311557789,0.03197415908517775,0.9292929292929293,0.2701993398227249
object100_pt_efficientnet_b0_00_04,32,0.9949748743718593,0.01339256695832065,0.9292929292929293,0.2697116437443353
