model,wanted,prediction,count
object100_pt_efficientnet_b0_00_34,ecouteurs,ecouteurs,16
object100_pt_efficientnet_b0_00_34,ecouteurs,keycap-puller,0
object100_pt_efficientnet_b0_00_34,ecouteurs,other,0
object100_pt_efficientnet_b0_00_34,ecouteurs,pc-stand,0
object100_pt_efficientnet_b0_00_34,ecouteurs,porte-mine,0
object100_pt_efficientnet_b0_00_34,keycap-puller,ecouteurs,0
object100_pt_efficientnet_b0_00_34,keycap-puller,keycap-puller,26
object100_pt_efficientnet_b0_00_34,keycap-puller,other,1
object100_pt_efficientnet_b0_00_34,keycap-puller,pc-stand,0
object100_pt_efficientnet_b0_00_34,keycap-puller,porte-mine,2
object100_pt_efficientnet_b0_00_34,other,ecouteurs,2
object100_pt_efficientnet_b0_00_34,other,keycap-puller,1
object100_pt_efficientnet_b0_00_34,other,other,16
object100_pt_efficientnet_b0_00_34,other,pc-stand,0
object100_pt_efficientnet_b0_00_34,other,porte-mine,0
object100_pt_efficientnet_b0_00_34,pc-stand,ecouteurs,0
object100_pt_efficientnet_b0_00_34,pc-stand,keycap-puller,0
object100_pt_efficientnet_b0_00_34,pc-stand,other,0
object100_pt_efficientnet_b0_00_34,pc-stand,pc-stand,15
object100_pt_efficientnet_b0_00_34,pc-stand,porte-mine,1
object100_pt_efficientnet_b0_00_34,porte-mine,ecouteurs,0
object100_pt_efficientnet_b0_00_34,porte-mine,keycap-puller,0
object100_pt_efficientnet_b0_00_34,porte-mine,other,0
object100_pt_efficientnet_b0_00_34,porte-mine,pc-stand,0
object100_pt_efficientnet_b0_00_34,porte-mine,porte-mine,19
