model,wanted,prediction,count
object100_tf_mobilenet_v2_00_08,ecouteurs,ecouteurs,23
object100_tf_mobilenet_v2_00_08,ecouteurs,keycap-puller,0
object100_tf_mobilenet_v2_00_08,ecouteurs,other,0
object100_tf_mobilenet_v2_00_08,ecouteurs,pc-stand,0
object100_tf_mobilenet_v2_00_08,ecouteurs,porte-mine,0
object100_tf_mobilenet_v2_00_08,keycap-puller,ecouteurs,0
object100_tf_mobilenet_v2_00_08,keycap-puller,keycap-puller,20
object100_tf_mobilenet_v2_00_08,keycap-puller,other,1
object100_tf_mobilenet_v2_00_08,keycap-puller,pc-stand,0
object100_tf_mobilenet_v2_00_08,keycap-puller,porte-mine,1
object100_tf_mobilenet_v2_00_08,other,ecouteurs,0
object100_tf_mobilenet_v2_00_08,other,keycap-puller,0
object100_tf_mobilenet_v2_00_08,other,other,12
object100_tf_mobilenet_v2_00_08,other,pc-stand,1
object100_tf_mobilenet_v2_00_08,other,porte-mine,0
object100_tf_mobilenet_v2_00_08,pc-stand,ecouteurs,0
object100_tf_mobilenet_v2_00_08,pc-stand,keycap-puller,0
object100_tf_mobilenet_v2_00_08,pc-stand,other,0
object100_tf_mobilenet_v2_00_08,pc-stand,pc-stand,15
object100_tf_mobilenet_v2_00_08,pc-stand,porte-mine,1
object100_tf_mobilenet_v2_00_08,porte-mine,ecouteurs,1
object100_tf_mobilenet_v2_00_08,porte-mine,keycap-puller,4
object100_tf_mobilenet_v2_00_08,porte-mine,other,0
object100_tf_mobilenet_v2_00_08,porte-mine,pc-stand,2
object100_tf_mobilenet_v2_00_08,porte-mine,porte-mine,18
