model,wanted,prediction,count
objects150_tf_efficientnet_b0_00_03,ecouteurs,ecouteurs,32
objects150_tf_efficientnet_b0_00_03,ecouteurs,keycap-puller,0
objects150_tf_efficientnet_b0_00_03,ecouteurs,other,0
objects150_tf_efficientnet_b0_00_03,ecouteurs,pc-stand,0
objects150_tf_efficientnet_b0_00_03,ecouteurs,porte-mine,0
objects150_tf_efficientnet_b0_00_03,keycap-puller,ecouteurs,0
objects150_tf_efficientnet_b0_00_03,keycap-puller,keycap-puller,25
objects150_tf_efficientnet_b0_00_03,keycap-puller,other,1
objects150_tf_efficientnet_b0_00_03,keycap-puller,pc-stand,0
objects150_tf_efficientnet_b0_00_03,keycap-puller,porte-mine,1
objects150_tf_efficientnet_b0_00_03,other,ecouteurs,2
objects150_tf_efficientnet_b0_00_03,other,keycap-puller,0
objects150_tf_efficientnet_b0_00_03,other,other,28
objects150_tf_efficientnet_b0_00_03,other,pc-stand,1
objects150_tf_efficientnet_b0_00_03,other,porte-mine,1
objects150_tf_efficientnet_b0_00_03,pc-stand,ecouteurs,0
objects150_tf_efficientnet_b0_00_03,pc-stand,keycap-puller,0
objects150_tf_efficientnet_b0_00_03,pc-stand,other,0
objects150_tf_efficientnet_b0_00_03,pc-stand,pc-stand,30
objects150_tf_efficientnet_b0_00_03,pc-stand,porte-mine,0
objects150_tf_efficientnet_b0_00_03,porte-mine,ecouteurs,1
objects150_tf_efficientnet_b0_00_03,porte-mine,keycap-puller,1
objects150_tf_efficientnet_b0_00_03,porte-mine,other,0
objects150_tf_efficientnet_b0_00_03,porte-mine,pc-stand,0
objects150_tf_efficientnet_b0_00_03,porte-mine,porte-mine,30
