model,epoch,accuracy,loss,val_accuracy,val_loss
object100_pt_mobilenet_v2_02_192,0,0.5326633165829145,1.2598491164308097,0.797979797979798,0.7942438655429416
object100_pt_mobilenet_v2_02_192,1,0.8316582914572864,0.5901481910566588,0.7070707070707071,0.6096302872956402
object100_pt_mobilenet_v2_02_192,2,0.8542713567839196,0.36456762815839683,0.898989898989899,0.35290541853567564
object100_pt_mobilenet_v2_02_192,3,0.9271356783919598,0.24094487176318863,0.8080808080808081,0.47734662860330906
object100_pt_mobilenet_v2_02_192,4,0.9195979899497487,0.22182854710511826,0.9090909090909091,0.39048586650328204
object100_pt_mobilenet_v2_02_192,5,0.914572864321608,0.22159274575773197,0.8787878787878788,0.33054279069406817
object100_pt_mobilenet_v2_02_192,6,0.949748743718593,0.16309927104406022,0.8383838383838383,0.4154027080295062
object100_pt_mobilenet_v2_02_192,7,0.9522613065326633,0.14808871125306317,0.9090909090909091,0.33445560811746
object100_pt_mobilenet_v2_02_192,8,0.9547738693467337,0.12087776665412002,0.8888888888888888,0.3562756861099089
object100_pt_mobilenet_v2_02_192,9,0.9597989949748744,0.0967177548375561,0.9191919191919192,0.2898465328746372
object100_pt_mobilenet_v2_02_192,10,0.9723618090452262,0.07388084817995977,0.9090909090909091,0.3236735866527365
object100_pt_mobilenet_v2_02_192,11,0.9849246231155779,0.05485860637889885,0.898989898989899,0.3804371826576464
object100_pt_mobilenet_v2_02_192,12,0.9874371859296482,0.04731417029871413,0.898989898989899,0.35988194593275435
object100_pt_mobilenet_v2_02_192,13,0.964824120603015,0.08429221677870008,0.9191919191919192,0.35719348758346203
object100_pt_mobilenet_v2_02_192,14,0.964824120603015,0.08245073386173152,0.8888888888888888,0.40187055342877753
object100_pt_mobilenet_v2_02_192,15,0.9723618090452262,0.06864958177858861,0.8787878787878788,0.5061153113239943
object100_pt_mobilenet_v2_02_192,16,0.964824120603015,0.11800495268842533,0.7878787878787878,0.5937970563618824
object100_pt_mobilenet_v2_02_192,17,0.9698492462311558,0.08373899263652725,0.9090909090909091,0.3654314446253608
object100_pt_mobilenet_v2_02_192,18,0.9874371859296482,0.04578811981265981,0.9191919191919192,0.3111778575964648
object100_pt_mobilenet_v2_02_192,19,0.9773869346733668,0.06601141383824637,0.9090909090909091,0.34374430745539036
object100_pt_mobilenet_v2_02_192,20,0.8693467336683417,0.4266582385229705,0.797979797979798,0.4964704536127322
object100_pt_mobilenet_v2_02_192,21,0.9170854271356784,0.21676744003990786,0.898989898989899,0.2914743327131175
object100_pt_mobilenet_v2_02_192,22,0.957286432160804,0.10581974600951875,0.898989898989899,0.39001927746817316
object100_pt_mobilenet_v2_02_192,23,0.9698492462311558,0.07911619626865465,0.7878787878787878,0.6063510882433014
object100_pt_mobilenet_v2_02_192,24,0.9748743718592965,0.060341043950025756,0.9090909090909091,0.35565800799263847
object100_pt_mobilenet_v2_02_192,25,0.964824120603015,0.09165775036935381,0.898989898989899,0.4296050977356958
object100_pt_mobilenet_v2_02_192,26,0.9798994974874372,0.05767918028049732,0.8181818181818182,0.7658413793101455
object100_pt_mobilenet_v2_02_192,27,0.9849246231155779,0.05934914393378562,0.8686868686868687,0.38119640254011056
object100_pt_mobilenet_v2_02_192,28,0.9974874371859297,0.01350900414516803,0.9191919191919192,0.31255119837670015
object100_pt_mobilenet_v2_02_192,29,0.9949748743718593,0.018979796938523277,0.9191919191919192,0.3131670638838915
