model,wanted,prediction,count
object100_pt_efficientnet_b0_00_38,ecouteurs,ecouteurs,16
object100_pt_efficientnet_b0_00_38,ecouteurs,keycap-puller,0
object100_pt_efficientnet_b0_00_38,ecouteurs,other,0
object100_pt_efficientnet_b0_00_38,ecouteurs,pc-stand,0
object100_pt_efficientnet_b0_00_38,ecouteurs,porte-mine,0
object100_pt_efficientnet_b0_00_38,keycap-puller,ecouteurs,0
object100_pt_efficientnet_b0_00_38,keycap-puller,keycap-puller,24
object100_pt_efficientnet_b0_00_38,keycap-puller,other,1
object100_pt_efficientnet_b0_00_38,keycap-puller,pc-stand,0
object100_pt_efficientnet_b0_00_38,keycap-puller,porte-mine,4
object100_pt_efficientnet_b0_00_38,other,ecouteurs,3
object100_pt_efficientnet_b0_00_38,other,keycap-puller,1
object100_pt_efficientnet_b0_00_38,other,other,15
object100_pt_efficientnet_b0_00_38,other,pc-stand,0
object100_pt_efficientnet_b0_00_38,other,porte-mine,0
object100_pt_efficientnet_b0_00_38,pc-stand,ecouteurs,0
object100_pt_efficientnet_b0_00_38,pc-stand,keycap-puller,0
object100_pt_efficientnet_b0_00_38,pc-stand,other,0
object100_pt_efficientnet_b0_00_38,pc-stand,pc-stand,16
object100_pt_efficientnet_b0_00_38,pc-stand,porte-mine,0
object100_pt_efficientnet_b0_00_38,porte-mine,ecouteurs,0
object100_pt_efficientnet_b0_00_38,porte-mine,keycap-puller,0
object100_pt_efficientnet_b0_00_38,porte-mine,other,0
object100_pt_efficientnet_b0_00_38,porte-mine,pc-stand,0
object100_pt_efficientnet_b0_00_38,porte-mine,porte-mine,19
