model,wanted,prediction,count
object100_pt_mobilenet_v2_01_261,ecouteurs,ecouteurs,16
object100_pt_mobilenet_v2_01_261,ecouteurs,keycap-puller,0
object100_pt_mobilenet_v2_01_261,ecouteurs,other,0
object100_pt_mobilenet_v2_01_261,ecouteurs,pc-stand,0
object100_pt_mobilenet_v2_01_261,ecouteurs,porte-mine,0
object100_pt_mobilenet_v2_01_261,keycap-puller,ecouteurs,0
object100_pt_mobilenet_v2_01_261,keycap-puller,keycap-puller,27
object100_pt_mobilenet_v2_01_261,keycap-puller,other,1
object100_pt_mobilenet_v2_01_261,keycap-puller,pc-stand,0
object100_pt_mobilenet_v2_01_261,keycap-puller,porte-mine,1
object100_pt_mobilenet_v2_01_261,other,ecouteurs,0
object100_pt_mobilenet_v2_01_261,other,keycap-puller,2
object100_pt_mobilenet_v2_01_261,other,other,14
object100_pt_mobilenet_v2_01_261,other,pc-stand,1
object100_pt_mobilenet_v2_01_261,other,porte-mine,2
object100_pt_mobilenet_v2_01_261,pc-stand,ecouteurs,0
object100_pt_mobilenet_v2_01_261,pc-stand,keycap-puller,0
object100_pt_mobilenet_v2_01_261,pc-stand,other,0
object100_pt_mobilenet_v2_01_261,pc-stand,pc-stand,15
object100_pt_mobilenet_v2_01_261,pc-stand,porte-mine,1
object100_pt_mobilenet_v2_01_261,porte-mine,ecouteurs,0
object100_pt_mobilenet_v2_01_261,porte-mine,keycap-puller,0
object100_pt_mobilenet_v2_01_261,porte-mine,other,0
object100_pt_mobilenet_v2_01_261,porte-mine,pc-stand,0
object100_pt_mobilenet_v2_01_261,porte-mine,porte-mine,19
