model,wanted,prediction,count
object100_pt_mobilenet_v2_01_159,ecouteurs,ecouteurs,16
object100_pt_mobilenet_v2_01_159,ecouteurs,keycap-puller,0
object100_pt_mobilenet_v2_01_159,ecouteurs,other,0
object100_pt_mobilenet_v2_01_159,ecouteurs,pc-stand,0
object100_pt_mobilenet_v2_01_159,ecouteurs,porte-mine,0
object100_pt_mobilenet_v2_01_159,keycap-puller,ecouteurs,0
object100_pt_mobilenet_v2_01_159,keycap-puller,keycap-puller,27
object100_pt_mobilenet_v2_01_159,keycap-puller,other,1
object100_pt_mobilenet_v2_01_159,keycap-puller,pc-stand,0
object100_pt_mobilenet_v2_01_159,keycap-puller,porte-mine,1
object100_pt_mobilenet_v2_01_159,other,ecouteurs,0
object100_pt_mobilenet_v2_01_159,other,keycap-puller,2
object100_pt_mobilenet_v2_01_159,other,other,15
object100_pt_mobilenet_v2_01_159,other,pc-stand,0
object100_pt_mobilenet_v2_01_159,other,porte-mine,2
object100_pt_mobilenet_v2_01_159,pc-stand,ecouteurs,0
object100_pt_mobilenet_v2_01_159,pc-stand,keycap-puller,0
object100_pt_mobilenet_v2_01_159,pc-stand,other,0
object100_pt_mobilenet_v2_01_159,pc-stand,pc-stand,14
object100_pt_mobilenet_v2_01_159,pc-stand,porte-mine,2
object100_pt_mobilenet_v2_01_159,porte-mine,ecouteurs,0
object100_pt_mobilenet_v2_01_159,porte-mine,keycap-puller,3
object100_pt_mobilenet_v2_01_159,porte-mine,other,0
object100_pt_mobilenet_v2_01_159,porte-mine,pc-stand,0
object100_pt_mobilenet_v2_01_159,porte-mine,porte-mine,16
